x,y,z
0.956824,0.0842206,0.231394
0.975039,0.0824342,0.226486
0.993254,0.0806478,0.221578
0.993254,0.0701953,0.19286
0.993254,0.0586974,0.16127
0.993254,0.0460499,0.126521
0.993254,0.0321375,0.0882971
0.993254,0.0168339,0.0462509
0.993254,0.0,0.0
0.0,0.0,0.0
0.00222086,0.0331919,0.05749
0.00800945,0.0629419,0.109019
0.0162716,0.089525,0.155062
0.0261595,0.113227,0.196116
0.0370249,0.134331,0.232668
0.0483785,0.153104,0.265185
0.0598573,0.169797,0.294097
0.0711969,0.184638,0.319802
0.0822096,0.197833,0.342657
0.0927669,0.209569,0.362984
0.102786,0.220011,0.381071
0.112217,0.229307,0.397172
0.121037,0.237587,0.411513
0.129241,0.244967,0.424295
0.130284,0.245789,0.42572
0.131483,0.246557,0.427049
0.132826,0.247262,0.428271
0.134301,0.247898,0.429372
0.135894,0.248459,0.430344
0.137589,0.248939,0.431175
0.139369,0.249334,0.431859
0.141219,0.24964,0.432388
0.143119,0.249853,0.432758
0.145052,0.249973,0.432966
0.147,0.249997,0.433008
0.148942,0.249926,0.432884
0.161589,0.249149,0.43154
0.175501,0.248295,0.43006
0.190804,0.247356,0.428433
0.207637,0.246323,0.426643
0.226154,0.245186,0.424674
0.246522,0.243935,0.422508
0.268927,0.24256,0.420126
0.293572,0.241047,0.417505
0.320682,0.239382,0.414623
0.350504,0.237552,0.411452
0.383307,0.235538,0.407963
0.41939,0.233323,0.404127
0.459082,0.230886,0.399906
0.502743,0.228205,0.395263
0.55077,0.225257,0.390156
0.6036,0.222013,0.384539
0.638042,0.219213,0.379689
0.671944,0.21508,0.372529
0.705097,0.209637,0.363102
0.737302,0.202919,0.351467
0.768361,0.194967,0.337692
0.798086,0.185828,0.321864
0.826296,0.175559,0.304077
0.85282,0.164221,0.28444
0.877495,0.151885,0.263072
0.900173,0.138624,0.240104
0.911093,0.133018,0.230395
0.924092,0.128659,0.222844
0.938608,0.125734,0.217777
0.956824,0.123122,0.213254
0.975039,0.120511,0.208731
0.993254,0.117899,0.204207
0.993254,0.102619,0.177741
0.993254,0.0858099,0.148627
0.993254,0.0673204,0.116602
0.993254,0.0469819,0.0813751
0.993254,0.0246096,0.042625
0.993254,0.0,0.0
0.0,0.0,0.0
0.00222086,0.0426707,0.0508529
0.00800945,0.0809166,0.0964326
0.0162716,0.115091,0.13716
0.0261595,0.145562,0.173475
0.0370249,0.172693,0.205807
0.0483785,0.196827,0.23457
0.0598573,0.218287,0.260144
0.0711969,0.237365,0.282881
0.0822096,0.254329,0.303098
0.0927669,0.269417,0.321078
0.102786,0.282841,0.337077
0.112217,0.294791,0.351319
0.121037,0.305436,0.364005
0.129241,0.314923,0.375311
0.130284,0.315981,0.376571
0.131483,0.316968,0.377747
0.132826,0.317874,0.378828
0.134301,0.318692,0.379802
0.135894,0.319413,0.380661
0.137589,0.32003,0.381397
0.139369,0.320538,0.382002
0.141219,0.32093,0.38247
0.143119,0.321205,0.382797
0.145052,0.321359,0.382981
0.147,0.32139,0.383018
0.148942,0.321299,0.382909
0.161589,0.3203,0.381719
